"2000 AD","tt0214728","1","6.5","6.1","0","2000","99","
English","
Hong Kong","VCD","HK","Hong Kong"
"990714.com","tt0369196","1","2","4.3","0","2000","95","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"A Chinese Odyssey p1","tt0112778","1","0","7.8","0","1994","87","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"A Fighters Blues","tt0277558","1","7","6.3","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"A Gamblers Story",,"1","0","0","0","0","0",,,"VCD","HK","Hong Kong"
"A Killers Expiry Date","tt0369887","1","0","0","0","1998","95","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"A Matter of Time","tt0286812","1","0","5.9","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"A Moment of Romance","tt0100777","1","0","7.2","0","1990","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"A Time to Remember","tt0192679","1","0","5.7","0","1998","98","
Mandarin","
China","VCD","HK","Hong Kong"
"A True Mob Story","tt0165998","1","0","5.9","0","1998","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Accidental Spy","tt0271946","1","7","5.7","0","2001","92","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"An Eye for an Eye","tt0199031","1","0","4.6","0","1999","0","
Finnish","
Finland","VCD","HK","Hong Kong"
"And I Hate You So","tt0253955","1","0","6.3","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Anna Magdalena","tt0159251","1","0","6.6","0","1998","97","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Ashes of Time","tt0109688","1","0","7.4","0","1994","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Augustin King of Kung Fu","tt0208694","1","0","6.2","0","1999","0","
French","
France","VCD","HK","Hong Kong"
"Bakery Amour","tt0308670","1","7","6.4","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Bayside Shakedown","tt0210199","1","6.5","6.6","0","1998","0","
Japanese","
Japan","VCD","JP","Japanese"
"Beauty and the Breast","tt0308290","1","0","5.6","0","2002","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Best of the Best","tt0183073","1","6","5.9","0","1996","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Bio Cops","tt0276500","1","4","5.2","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Bloody Secret 2000",,"1","0","0","0","0","0",,,"VCD","HK","Hong Kong"
"Bodyguard from Beijing","tt0111835","1","0","6.1","0","1994","92","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Breaking the Silence","tt0236598","1","2","6.6","0","2000","90","
Mandarin","
China","VCD","HK","Hong Kong"
"Brother","tt0222851","1","8","7.1","0","2000","0","
English","
USA","VCD","JP","Japanese"
"Butterfly Sword","tt0108614","1","5","5.8","0","1993","88","
Cantonese","
Taiwan","VCD","HK","Hong Kong"
"Casino Raiders","tt0098708","1","7","7","0","1989","114","
Mandarin","
Hong Kong","VCD","HK","Hong Kong"
"Century of the Dragon","tt0219887","1","7","5.7","0","1999","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"China Strike Force","tt0266408","1","5.5","5.1","0","2000","92","
English","
Hong Kong","VCD","HK","Hong Kong"
"Clean my name Mr Coroner!","tt0276154","1","7.5","6.4","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Come Uppance","tt0286553","1","9","7","0","2000","106","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Conman In Tokyo","tt0325181","1","7","6.2","0","2000","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Conman in Vegas","tt0208871","1","6","5.3","0","1999","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Cop Shop Babies","tt0318359","1","0","4.9","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Crouching Tiger Hidden Dragon","tt0190332","1","9","8.1","0","2000","0","
Mandarin","
Taiwan","VCD","HK","Hong Kong"
"Dark War","tt0285433","1","0","4.5","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Day Off","tt0321942","1","4","0","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Drive","tt0116147","1","5.5","6.5","0","1997","0","
English","
USA","VCD","US","American"
"Drunken Master","tt0080179","1","0","7.6","0","1978","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Drunken Master II","tt0111512","1","0","7.5","0","1994","102","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Emperor and the Assassin","tt0162866","1","0","7.2","0","1998","0","
Mandarin","
France","VCD","HK","Hong Kong"
"Esprit D'Amour","tt0302538","1","0","4.7","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
"Everyday is Valentine","tt0355323","1","7","6.1","0","2001","0","
Cantonese","
Hong Kong","VCD","HK","Hong Kong"
